name,price,discount,star,link
پایه نگهدارنده موبایل مناسب موتور و دوچرخه چهار گوشه مدل Universal Bike Holder,"۴۹,۰۹۰",-,۳.۲,https://www.digikala.com/product/dkp-458202/%D9%BE%D8%A7%DB%8C%D9%87-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D9%85%D9%88%D8%AA%D9%88%D8%B1-%D9%88-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%DA%AF%D9%88%D8%B4%D9%87-%D9%85%D8%AF%D9%84-universal-bike-holder/
پایه نگه‌دارنده دیواری دوچرخه ان دی مدل M101,"۱۱۹,۰۰۰",-,۴.۴,https://www.digikala.com/product/dkp-2948926/%D9%BE%D8%A7%DB%8C%D9%87-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%D8%AF%DB%8C%D9%88%D8%A7%D8%B1%DB%8C-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%A7%D9%86-%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-m101/
کیف دوچرخه مدل Jack Bike کد Bcl3490,"۱۰۵,۰۰۰",۳۲٪,۳.۹,https://www.digikala.com/product/dkp-2070133/%DA%A9%DB%8C%D9%81-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D9%85%D8%AF%D9%84-jack-bike-%DA%A9%D8%AF-bcl3490/
باربند دوچرخه صندوقی مدل 97313,"۳۳۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-605122/%D8%A8%D8%A7%D8%B1%D8%A8%D9%86%D8%AF-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%B5%D9%86%D8%AF%D9%88%D9%82%DB%8C-%D9%85%D8%AF%D9%84-97313/
پایه نگهدارنده موبایل شارژر دار مناسب برای موتورسیکلت مدل Phone charging bracke,"۲۲۹,۶۱۰",-,۴.۲,https://www.digikala.com/product/dkp-458716/%D9%BE%D8%A7%DB%8C%D9%87-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B4%D8%A7%D8%B1%DA%98%D8%B1-%D8%AF%D8%A7%D8%B1-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%85%D9%88%D8%AA%D9%88%D8%B1%D8%B3%DB%8C%DA%A9%D9%84%D8%AA-%D9%85%D8%AF%D9%84-phone-charging-bracke/
برچسب ایمنی شبرنگ دوچرخه رفلکتر کد 8P بسته ۸ عددی,"۵۸,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-3042804/%D8%A8%D8%B1%DA%86%D8%B3%D8%A8-%D8%A7%DB%8C%D9%85%D9%86%DB%8C-%D8%B4%D8%A8%D8%B1%D9%86%DA%AF-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%B1%D9%81%D9%84%DA%A9%D8%AA%D8%B1-%DA%A9%D8%AF-8p-%D8%A8%D8%B3%D8%AA%D9%87-%DB%B8-%D8%B9%D8%AF%D8%AF%DB%8C/
ست تی شرت و شلوار پسرانه مدل Standing bike رنگ سرمه ای,"۱۷۷,۰۰۰",۶۷٪,۳.۵,https://www.digikala.com/product/dkp-8434474/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-standing-bike-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/
ست تی شرت و شلوار پسرانه مدل Standing bike رنگ قرمز,"۱۷۷,۰۰۰",۶۷٪,۵,https://www.digikala.com/product/dkp-8434504/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-standing-bike-%D8%B1%D9%86%DA%AF-%D9%82%D8%B1%D9%85%D8%B2/
دفتر 80 برگ گاجکو مدل Cat Bike,"۱۶,۰۰۰",۲۰٪,۴.۵,https://www.digikala.com/product/dkp-1982898/%D8%AF%D9%81%D8%AA%D8%B1-80-%D8%A8%D8%B1%DA%AF-%DA%AF%D8%A7%D8%AC%DA%A9%D9%88-%D8%B7%D8%B1%D8%AD-cat-bike-%D8%A8%D8%A7-%D8%B1%D8%A7%DB%8C%D8%AD%D9%87-%D8%B4%DA%A9%D9%84%D8%A7%D8%AA/
پایه نگهدارنده گوشی موبایل مدل Universal Bike Holder مناسب برای موتور و دوچرخه,"۱۳۵,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-1587959/%D9%BE%D8%A7%DB%8C%D9%87-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%85%D8%AF%D9%84-universal-bike-holder-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%85%D9%88%D8%AA%D9%88%D8%B1-%D9%88-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87/
باربند حمل دوچرخه ان دی مدل تالون 2,"۵۸۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8616817/%D8%A8%D8%A7%D8%B1%D8%A8%D9%86%D8%AF-%D8%AD%D9%85%D9%84-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%A7%D9%86-%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-%D8%AA%D8%A7%D9%84%D9%88%D9%86-2/
ست تی شرت و شلوار پسرانه مدل Standing bike رنگ زرد,"۱۷۷,۰۰۰",۶۷٪,۵,https://www.digikala.com/product/dkp-8434535/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-standing-bike-%D8%B1%D9%86%DA%AF-%D8%B2%D8%B1%D8%AF/
نگهدارنده گوشی موبایل مدل Universal Bike Holder,"۶۰,۰۰۰",-,۲,https://www.digikala.com/product/dkp-8246059/%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%85%D8%AF%D9%84-universal-bike-holder/
پایه نگهدارنده گوشی موبایل مدل Bike Holder,"۵۵,۸۰۰",-,۴,https://www.digikala.com/product/dkp-7867110/%D9%BE%D8%A7%DB%8C%D9%87-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%85%D8%AF%D9%84-bike-holder/
تلمبه دستی دکتلون مدل Btwin Hybrid Bike Hand Pump,"۴۵۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8276276/%D8%AA%D9%84%D9%85%D8%A8%D9%87-%D8%AF%D8%B3%D8%AA%DB%8C-%D8%AF%DA%A9%D8%AA%D9%84%D9%88%D9%86-%D9%85%D8%AF%D9%84-btwin-hybrid-bike-hand-pump/
پایه نگهدارنده گوشی موبایل مدل Universal Bike,"۵۴,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-7215503/%D9%BE%D8%A7%DB%8C%D9%87-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%85%D8%AF%D9%84-universal-bike/
کوله پشتی دوچرخه سواری 20 لیتری دیوتر مدل bike 20,"۲,۸۰۰,۰۰۰",-,۵,https://www.digikala.com/product/dkp-6549274/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-20-%D9%84%DB%8C%D8%AA%D8%B1%DB%8C-%D8%AF%DB%8C%D9%88%D8%AA%D8%B1-%D9%85%D8%AF%D9%84-bike-20/
لگو سری City Chicken Stunt Bike 60310 کد 02,"۳۱۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8261222/%D8%B3%D8%A7%D8%AE%D8%AA%D9%86%DB%8C-%D9%84%DA%AF%D9%88-%D9%85%D8%AF%D9%84-lego-city-chicken-stunt-bike-60310/
ساختنی طرح Bike-MB 173 مدل BMKS-P074,"۸۵,۰۰۰",-,-,https://www.digikala.com/product/dkp-4331826/%D8%B3%D8%A7%D8%AE%D8%AA%D9%86%DB%8C-%D8%B7%D8%B1%D8%AD-bike-mb-173-%D9%85%D8%AF%D9%84-bmks-p074/
لگو سری City مدل Selfie Stunt Bike کد 60309,"۳۱۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8518358/%D9%84%DA%AF%D9%88-%D8%B3%D8%B1%DB%8C-city-%D9%85%D8%AF%D9%84-selfie-stunt-bike-%DA%A9%D8%AF-60309/
لگو سری City مدل Demolition Stunt Bike کد 60297,"۴۴۰,۰۰۰",-,۵,https://www.digikala.com/product/dkp-8031041/%D9%84%DA%AF%D9%88-%D8%B3%D8%B1%DB%8C-city-%D9%85%D8%AF%D9%84-demolition-stunt-bike-%DA%A9%D8%AF-60297/
لگو سری City مدل Rocket Stunt Bike کد 60298,"۴۴۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8041736/%D9%84%DA%AF%D9%88-%D8%B3%D8%B1%DB%8C-city-%D9%85%D8%AF%D9%84-rocket-stunt-bike-%DA%A9%D8%AF-60298/
تلمبه دستی مدل mountain bike,"۱۸۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8463646/%D8%AA%D9%84%D9%85%D8%A8%D9%87-%D8%AF%D8%B3%D8%AA%DB%8C-%D9%85%D8%AF%D9%84-mountain-bike/
ساختنی دکول مدل Stunt Bike 3419 کد KTS-051,"۲۷۹,۰۰۰",-,۴.۴,https://www.digikala.com/product/dkp-524944/%D8%B3%D8%A7%D8%AE%D8%AA%D9%86%DB%8C-%D8%AF%DA%A9%D9%88%D9%84-%D9%85%D8%AF%D9%84-stunt-bike-3419-%DA%A9%D8%AF-kts-051/
کلاه کپ مدل SUPER BIKE,"۲۴۸,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8034026/%DA%A9%D9%84%D8%A7%D9%87-%DA%A9%D9%BE-%D9%85%D8%AF%D9%84-super-bike/
دوچرخه برقی بیشل اسپرت مدل YK-D8 کد 03 سایز 14,"۱۵,۰۰۰,۰۰۰",-,۲.۵,https://www.digikala.com/product/dkp-2683287/%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%A8%D8%B1%D9%82%DB%8C-%D8%A8%DB%8C%D8%B4%D9%84-%D8%A7%D8%B3%D9%BE%D8%B1%D8%AA-%D9%85%D8%AF%D9%84-yk-d8-%DA%A9%D8%AF-03-%D8%B3%D8%A7%DB%8C%D8%B2-14/
دوچرخه ثابت اسپینینگ فررش وی مدل Fw 102,"۱۱,۸۳۴,۰۰۰",۳٪,۴.۵,https://www.digikala.com/product/dkp-539483/%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%AB%D8%A7%D8%A8%D8%AA-%D8%A7%D8%B3%D9%BE%DB%8C%D9%86%DB%8C%D9%86%DA%AF-%D9%81%D8%B1%D8%B1%D8%B4-%D9%88%DB%8C-%D9%85%D8%AF%D9%84-fw-102/
لگو سری City مدل Fire Stunt Bike کد 60311,"۳۱۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8518386/%D9%84%DA%AF%D9%88-%D8%B3%D8%B1%DB%8C-city-%D9%85%D8%AF%D9%84-fire-stunt-bike-%DA%A9%D8%AF-60311/
دوچرخه مدل Kids Bike Gt475-3,"۲,۱۴۴,۰۰۰",-,۲,https://www.digikala.com/product/dkp-1109935/%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D9%85%D8%AF%D9%84-kids-bike-gt475-3/
دوچرخه مدل Kids Wooden Bike - Gt475,"۱,۶۰۰,۰۰۰",-,۴.۵,https://www.digikala.com/product/dkp-1109831/%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D9%85%D8%AF%D9%84-kids-wooden-bike-gt475/
سویشرت مردانه مدل دوچرخه سواری طرح BIKE THINKING کد NVY,"۴۵۵,۰۰۰",-,-,https://www.digikala.com/product/dkp-8340340/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D8%B7%D8%B1%D8%AD-bike-thinking-%DA%A9%D8%AF-nvy/
لگو مدل Minions Unstoppable Bike کد 75549,"۲,۶۴۰,۰۰۰",۸٪,-,https://www.digikala.com/product/dkp-4819860/%D9%84%DA%AF%D9%88-%D9%85%D8%AF%D9%84-minions-unstoppable-bike-%DA%A9%D8%AF-75549/
کوله پشتی ورزشی دکتلون مدل XC Light Mountain Bike,"۲,۲۰۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-6778314/%DA%A9%D9%85%D9%84-%D8%A8%DA%AF-%D8%AF%DA%A9%D8%AA%D9%84%D9%88%D9%86-%D9%85%D8%AF%D9%84-xc-light-mountain-bike/
پایه نگهدارنده شارژر گوشی موبایل راک مدل RPH0949 Universal Bike,"۲۲۴,۰۰۰",-,-,https://www.digikala.com/product/dkp-8149276/%D9%BE%D8%A7%DB%8C%D9%87-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%D9%86%D8%AF%D9%87-%D8%B4%D8%A7%D8%B1%DA%98%D8%B1-%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B1%D8%A7%DA%A9-%D9%85%D8%AF%D9%84-rph0949-universal-bike/
بازی آموزشی طرح Bike & Train,"۹۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8697645/%D8%A8%D8%A7%D8%B2%DB%8C-%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C-%D8%B7%D8%B1%D8%AD-bike-amp-train/
کوله پشتی نان فنگ مدل Bike One 20 کد 3209,"۳۸۹,۰۰۰",-,۳.۲,https://www.digikala.com/product/dkp-3168289/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D9%86%D8%A7%D9%86-%D9%81%D9%86%DA%AF-%D9%85%D8%AF%D9%84-bike-one-20-%DA%A9%D8%AF-3209/
تیشرت آستین کوتاه مردانه پاتیلوک مدل Bike کد 331049,"۱۶۸,۰۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-4370195/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%BE%D8%A7%D8%AA%DB%8C%D9%84%D9%88%DA%A9-%D9%85%D8%AF%D9%84-bike-%DA%A9%D8%AF-331049/
كتاب Complete Bike Owners Manual اثر جمعي از نويسندگان انتشارات دیکی,"۵۵۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8702163/%D9%83%D8%AA%D8%A7%D8%A8-complete-bike-owners-manual-%D8%A7%D8%AB%D8%B1-%D8%AC%D9%85%D8%B9%D9%8A-%D8%A7%D8%B2-%D9%86%D9%88%D9%8A%D8%B3%D9%86%D8%AF%DA%AF%D8%A7%D9%86-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AF%DB%8C%DA%A9%DB%8C/
شورت مردانه مدل BIKE_D,"۴۲,۹۰۰",-,-,https://www.digikala.com/product/dkp-8467689/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bike-d/
پازل آموزشی مدل دو وجهی طرح Triceratops & Diplodocus,"۴۹,۰۰۰",۴۶٪,-,https://www.digikala.com/product/dkp-8738386/%D9%BE%D8%A7%D8%B2%D9%84-%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C-%D9%85%D8%AF%D9%84-%D8%AF%D9%88-%D9%88%D8%AC%D9%87%DB%8C-%D8%B7%D8%B1%D8%AD-bike-amp-train/
