name,price,discount,star,link
لپ تاپ 15.6 اینچی ایسوس مدل VivoBook R565JP-EJ378,"۱۹,۹۸۵,۰۰۰",۴٪,-,https://www.digikala.com/product/dkp-8122155/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-r565jp-ej378/
لپ تاپ 15.6 اینچی ایسوس مدل UX535LI-BO131T,"۳۵,۴۹۰,۰۰۰",۵٪,-,https://www.digikala.com/product/dkp-6885101/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-ux535li-bo131t/
لپ تاپ 15.6 اینچی ایسوس مدل TUF Gaming FX506LH-HN004W,"۲۶,۳۹۰,۰۰۰",۴٪,-,https://www.digikala.com/product/dkp-8810579/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-tuf-gaming-fx506lh-hn004w/
لپ تاپ 15.6 اینچی ایسوس مدل K513EQ-BN443,"۲۵,۳۵۰,۰۰۰",۲٪,-,https://www.digikala.com/product/dkp-8388666/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-k513eq-bn443/
لپ تاپ 16 اینچ لنوو مدل Legion 7 16ITHg6,"۱۰۷,۰۰۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8519578/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-legion-7-16ithg6/
لپ تاپ 17.3 اینچی ایسوس مدل ROG Strix SCAR 17 G733ZW-AA,"۸۸,۰۰۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8916914/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-173-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-rog-strix-scar-17-g733zw-aa/
لپ تاپ 15 اینچی مایکروسافت مدل Surface Book 3- F,"۸۷,۹۰۰,۰۰۰",۷٪,۴.۵,https://www.digikala.com/product/dkp-3404802/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-15-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D8%B3%D8%A7%D9%81%D8%AA-%D9%85%D8%AF%D9%84-surface-book-3-f/
لپ تاپ 16 اینچی ایسوس مدل ProArt W7600H3A-L2008,"۸۵,۵۰۰,۰۰۰",-,۵,https://www.digikala.com/product/dkp-8390814/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-proart-w7600h3a-l2008/
لپ تاپ 16.2 اینچ اپل مدل MacBook Pro MK193 2021,"۸۳,۸۹۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8655807/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-162-%D8%A7%DB%8C%D9%86%DA%86-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-mk193-2021/
لپ تاپ 15.6 اینچی ایسر مدل Nitro 5 AN515-45-R6WC,"۸۳,۴۱۴,۰۰۰",۲٪,۵,https://www.digikala.com/product/dkp-7820998/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-nitro-5-an515-45-r6wc/
