name,price,discount,star,link
دوربین دوچشمی مدل Telescope کد 0034,"۵۰,۰۰۰",-,۲.۵,https://www.digikala.com/product/dkp-7950876/%D8%AF%D9%88%D8%B1%D8%A8%DB%8C%D9%86-%D8%AF%D9%88%DA%86%D8%B4%D9%85%DB%8C-%D9%85%D8%AF%D9%84-telescope-%DA%A9%D8%AF-0034/
دوربین اسباب بازی مدل telescope,"۲۸,۰۰۰",-,۳.۶,https://www.digikala.com/product/dkp-3194438/%D8%AF%D9%88%D8%B1%D8%A8%DB%8C%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-telescope/
استیکر لپ تاپ کالامیکس طرح تلسکوپ فضایی هابل مدل hubble telescope,"۱۰,۰۰۰",-,۵,https://www.digikala.com/product/dkp-8748305/%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9%D8%B1-%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%DA%A9%D8%A7%D9%84%D8%A7%D9%85%DB%8C%DA%A9%D8%B3-%D8%B7%D8%B1%D8%AD-%D8%AA%D9%84%D8%B3%DA%A9%D9%88%D9%BE-%D9%81%D8%B6%D8%A7%DB%8C%DB%8C-%D9%87%D8%A7%D8%A8%D9%84-%D9%85%D8%AF%D9%84-hubble-telescope/
کتاب The Wrong End of the Telescope اثر Rabih Alameddine انتشارات Grove Press,"۱۶۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-8555143/%DA%A9%D8%AA%D8%A7%D8%A8-the-wrong-end-of-the-telescope-%D8%A7%D8%AB%D8%B1-rabih-alameddine-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-grove-press/
تلسکوپ دریسکو مدل F76700,"۳,۴۰۰,۰۰۰",۱۸٪,۳.۹,https://www.digikala.com/product/dkp-491451/%D8%AA%D9%84%D8%B3%DA%A9%D9%88%D9%BE-%D8%AF%D8%B1%DB%8C%D8%B3%DA%A9%D9%88-%D9%85%D8%AF%D9%84-f76700/
تلسکوپ دریسکو مدل F60900,"۳,۰۰۰,۳۴۰",۳۱٪,۳.۷,https://www.digikala.com/product/dkp-491641/%D8%AA%D9%84%D8%B3%DA%A9%D9%88%D9%BE-%D8%AF%D8%B1%DB%8C%D8%B3%DA%A9%D9%88-%D9%85%D8%AF%D9%84-f60900/
تلسکوپ سلسترون مدل PowerSeeker 50AZ,"۳,۵۰۰,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-10754/%D8%AA%D9%84%D8%B3%DA%A9%D9%88%D9%BE-%D8%B3%D9%84%D8%B3%D8%AA%D8%B1%D9%88%D9%86-%D9%85%D8%AF%D9%84-powerseeker-50az/
تلسکوپ سلسترون مدل PowerSeeker 114EQ,"۱۱,۹۹۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-2638096/%D8%AA%D9%84%D8%B3%DA%A9%D9%88%D9%BE-%D8%B3%D9%84%D8%B3%D8%AA%D8%B1%D9%88%D9%86-%D9%85%D8%AF%D9%84-powerseeker-114eq/
تلسکوپ دریسکو مدل F60700,"۳,۲۰۰,۰۰۰",۱۵٪,۳.۸,https://www.digikala.com/product/dkp-491227/%D8%AA%D9%84%D8%B3%DA%A9%D9%88%D9%BE-%D8%AF%D8%B1%DB%8C%D8%B3%DA%A9%D9%88-%D9%85%D8%AF%D9%84-f60700/
تلسکوپ سلسترون مدل PowerSeeker 60AZ,"۵,۰۰۰,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-167721/%D8%AA%D9%84%D8%B3%DA%A9%D9%88%D9%BE-%D8%B3%D9%84%D8%B3%D8%AA%D8%B1%D9%88%D9%86-%D9%85%D8%AF%D9%84-powerseeker-60az/
