name,price,discount,star,link
کتاب رنگ آمیزی اسباب بازی ها اثر ندا پورطاهری نشر گوهر دانش,"۶,۹۰۰",-,۳.۷,https://www.digikala.com/product/dkp-6133623/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%B1%D9%86%DA%AF-%D8%A2%D9%85%DB%8C%D8%B2%DB%8C-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%87%D8%A7-%D8%A7%D8%AB%D8%B1-%D9%86%D8%AF%D8%A7-%D9%BE%D9%88%D8%B1%D8%B7%D8%A7%D9%87%D8%B1%DB%8C-%D9%86%D8%B4%D8%B1-%DA%AF%D9%88%D9%87%D8%B1-%D8%AF%D8%A7%D9%86%D8%B4/
تیله مدل B15 بسته 10 عددی,"۷,۴۰۰",۱۱٪,۳.۷,https://www.digikala.com/product/dkp-1641525/%D8%AA%DB%8C%D9%84%D9%87-%D9%85%D8%AF%D9%84-b15-%D8%A8%D8%B3%D8%AA%D9%87-10-%D8%B9%D8%AF%D8%AF%DB%8C/
اسباب بازی دارت مدل D205,"۷,۷۰۰",-,۳.۳,https://www.digikala.com/product/dkp-3043086/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%AF%D8%A7%D8%B1%D8%AA-%D9%85%D8%AF%D9%84-d205/
اسباب بازی مدل کیف,"۷,۵۰۰",-,۳.۳,https://www.digikala.com/product/dkp-4713608/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-%DA%A9%DB%8C%D9%81/
کتاب اسباب بازی ها رنگ آمیزی و کلمات انگلیسی اثر جمعی از نویسندگان نشر محمد و آل محمد,"۷,۵۰۰",-,۴,https://www.digikala.com/product/dkp-5371362/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%87%D8%A7-%D8%B1%D9%86%DA%AF-%D8%A2%D9%85%DB%8C%D8%B2%DB%8C-%D9%88-%DA%A9%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D9%86%DA%AF%D9%84%DB%8C%D8%B3%DB%8C-%D8%A7%D8%AB%D8%B1-%D8%AC%D9%85%D8%B9%DB%8C-%D8%A7%D8%B2-%D9%86%D9%88%DB%8C%D8%B3%D9%86%D8%AF%DA%AF%D8%A7%D9%86-%D9%86%D8%B4%D8%B1-%D9%85%D8%AD%D9%85%D8%AF-%D9%88-%D8%A2%D9%84-%D9%85%D8%AD%D9%85%D8%AF/
تیله مدل C51 بسته 10 عددی,"۷,۸۳۰",۱۱٪,۳.۷,https://www.digikala.com/product/dkp-1660573/%D8%AA%DB%8C%D9%84%D9%87-%D9%85%D8%AF%D9%84-c51-%D8%A8%D8%B3%D8%AA%D9%87-10-%D8%B9%D8%AF%D8%AF%DB%8C/
ست اسباب بازی آشپزخانه کد FRK 300,"۸,۰۰۰",-,۲.۷,https://www.digikala.com/product/dkp-4736789/%D8%B3%D8%AA-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%A2%D8%B4%D9%BE%D8%B2%D8%AE%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-frk-300/
اسباب بازی طرح قورباغه مدل Jp1,"۸,۲۰۰",-,۲.۹,https://www.digikala.com/product/dkp-2654306/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%B7%D8%B1%D8%AD-%D9%82%D9%88%D8%B1%D8%A8%D8%A7%D8%BA%D9%87-%D9%85%D8%AF%D9%84-jp1/
ست اسباب بازی ابزار مهندسی مدل R 04,"۸,۵۰۰",-,۳.۴,https://www.digikala.com/product/dkp-5110481/%D8%B3%D8%AA-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%A7%D8%A8%D8%B2%D8%A7%D8%B1-%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C-%D9%85%D8%AF%D9%84-r-04/
پیکسل مدل داستان اسباب بازی کد 632,"۸,۵۰۰",-,-,https://www.digikala.com/product/dkp-4497616/%D9%BE%DB%8C%DA%A9%D8%B3%D9%84-%D9%85%D8%AF%D9%84-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-632/
تیله مدل V08 بسته 15 عددی,"۸,۷۰۰",-,۳.۳,https://www.digikala.com/product/dkp-1670286/%D8%AA%DB%8C%D9%84%D9%87-%D9%85%D8%AF%D9%84-v08-%D8%A8%D8%B3%D8%AA%D9%87-15-%D8%B9%D8%AF%D8%AF%DB%8C/
سوت اسباب بازی مدل بلبلی,"۸,۸۰۰",-,۳.۱,https://www.digikala.com/product/dkp-4448545/%D8%B3%D9%88%D8%AA-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-%D8%A8%D9%84%D8%A8%D9%84%DB%8C/
