name,price,discount,star,link
اسباب بازی لوازم خانگی کودک درج تویز مدل Funny Wiring بسته 4 عددی,"۲۰۵,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-1590506/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%DA%A9%D9%88%D8%AF%DA%A9-%D8%AF%D8%B1%D8%AC-%D8%AA%D9%88%DB%8C%D8%B2-%D9%85%D8%AF%D9%84-funny-wiring-%D8%A8%D8%B3%D8%AA%D9%87-4-%D8%B9%D8%AF%D8%AF%DB%8C/
جاروبرقی لوازم خانگی هیوندای مدل HVC-2648,"۲,۸۸۱,۸۰۰",-,۴.۳,https://www.digikala.com/product/dkp-7133621/%D8%AC%D8%A7%D8%B1%D9%88%D8%A8%D8%B1%D9%82%DB%8C-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%87%DB%8C%D9%88%D9%86%D8%AF%D8%A7%DB%8C-%D9%85%D8%AF%D9%84-hvc-2648/
اسباب بازی لوازم خانگی کودک مدل وسایل حمام بسته 4 عددی,"۱۶۹,۰۰۰",-,۵,https://www.digikala.com/product/dkp-5659859/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%DA%A9%D9%88%D8%AF%DA%A9-%D9%85%D8%AF%D9%84-%D9%88%D8%B3%D8%A7%DB%8C%D9%84-%D8%AD%D9%85%D8%A7%D9%85-%D8%A8%D8%B3%D8%AA%D9%87-4-%D8%B9%D8%AF%D8%AF%DB%8C/
تعمیرکار لوازم خانگی برقی گردنده و حرارتی اثر جمعی از نویسندگان انتشارات آیلار,"۱۳۰,۵۰۰",-,-,https://www.digikala.com/product/dkp-5115671/%D8%AA%D8%B9%D9%85%DB%8C%D8%B1%DA%A9%D8%A7%D8%B1-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D8%A8%D8%B1%D9%82%DB%8C-%DA%AF%D8%B1%D8%AF%D9%86%D8%AF%D9%87-%D9%88-%D8%AD%D8%B1%D8%A7%D8%B1%D8%AA%DB%8C-%D8%A7%D8%AB%D8%B1-%D8%AC%D9%85%D8%B9%DB%8C-%D8%A7%D8%B2-%D9%86%D9%88%DB%8C%D8%B3%D9%86%D8%AF%DA%AF%D8%A7%D9%86-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A2%DB%8C%D9%84%D8%A7%D8%B1/
ست اسباب بازی آشپزخانه مدل لوازم خانگی مجموعه 4 عددی,"۱۲۱,۰۰۰",-,۴.۵,https://www.digikala.com/product/dkp-6062297/%D8%B3%D8%AA-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%A2%D8%B4%D9%BE%D8%B2%D8%AE%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-4-%D8%B9%D8%AF%D8%AF%DB%8C/
ست اسباب بازی مدل لوازم حیوانات خانگی کد 117A-688,"۲۹۸,۰۰۰",۲۶٪,-,https://www.digikala.com/product/dkp-7687053/%D8%B3%D8%AA-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AD%DB%8C%D9%88%D8%A7%D9%86%D8%A7%D8%AA-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%DA%A9%D8%AF-117a-688/
مجموعه 28 عددی لوازم مه پاش خانگی مدل RYI-36,"۳۸۰,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-5826348/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-28-%D8%B9%D8%AF%D8%AF%DB%8C-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D9%85%D9%87-%D9%BE%D8%A7%D8%B4-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%85%D8%AF%D9%84-ryi-36/
کتاب تعمیرکار لوازم خانگی برقی حرارتی و گردنده درجه 1 اثر مهدی حسینی آذر,"۸۶,۹۰۰",۶٪,۳.۳,https://www.digikala.com/product/dkp-352207/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AA%D8%B9%D9%85%DB%8C%D8%B1%DA%A9%D8%A7%D8%B1-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D8%A8%D8%B1%D9%82%DB%8C-%D8%AD%D8%B1%D8%A7%D8%B1%D8%AA%DB%8C-%D9%88-%DA%AF%D8%B1%D8%AF%D9%86%D8%AF%D9%87-%D8%AF%D8%B1%D8%AC%D9%87-1-%D8%A7%D8%AB%D8%B1-%D9%85%D9%87%D8%AF%DB%8C-%D8%AD%D8%B3%DB%8C%D9%86%DB%8C-%D8%A2%D8%B0%D8%B1/
ست اسباب بازی مدل لوازم خانگی کد NO.3369,"۴۳۵,۰۰۰",-,-,https://www.digikala.com/product/dkp-7910238/%D8%B3%D8%AA-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%DA%A9%D8%AF-no3369/
مایع جرم گیر لوازم خانگی پورچوز مدل Kucuk حجم 400 میلی لیتر,"۹۵,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-5028945/%D9%85%D8%A7%DB%8C%D8%B9-%D8%AC%D8%B1%D9%85-%DA%AF%DB%8C%D8%B1-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%BE%D9%88%D8%B1%DA%86%D9%88%D8%B2-%D9%85%D8%AF%D9%84-kucuk-%D8%AD%D8%AC%D9%85-400-%D9%85%DB%8C%D9%84%DB%8C-%D9%84%DB%8C%D8%AA%D8%B1/
آموزش تصویری خیاطی لوازم خانگی نشر ریشتر,"۴۵,۰۰۰",-,۳.۶,https://www.digikala.com/product/dkp-391381/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AA%D8%B5%D9%88%DB%8C%D8%B1%DB%8C-%D8%AE%DB%8C%D8%A7%D8%B7%DB%8C-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%86%D8%B4%D8%B1-%D8%B1%DB%8C%D8%B4%D8%AA%D8%B1/
کتاب تعمیر، نصب و نگهداری لوازم خانگی اثر استیو ویلسون انتشارات نبض دانش,"۹۵,۰۰۰",-,-,https://www.digikala.com/product/dkp-7902263/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AA%D8%B9%D9%85%DB%8C%D8%B1-%D9%86%D8%B5%D8%A8-%D9%88-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%DB%8C-%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D8%A7%D8%AB%D8%B1-%D8%A7%D8%B3%D8%AA%DB%8C%D9%88-%D9%88%DB%8C%D9%84%D8%B3%D9%88%D9%86-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D9%86%D8%A8%D8%B6-%D8%AF%D8%A7%D9%86%D8%B4/
لوازم برقی آشپزخانه کاراجا مدل H4654 مجموعه چهار عددی,"۱۵,۹۰۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-2743885/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%A8%D8%B1%D9%82%DB%8C-%D8%A2%D8%B4%D9%BE%D8%B2%D8%AE%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D8%A7%D8%AC%D8%A7-%D9%85%D8%AF%D9%84-h4654-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%D8%B9%D8%AF%D8%AF%DB%8C/
صبحانه ساز بیر مدل DSL-C02B1,"۵,۲۴۰,۰۰۰",۳۳٪,۴.۵,https://www.digikala.com/product/dkp-6084213/%D8%B5%D8%A8%D8%AD%D8%A7%D9%86%D9%87-%D8%B3%D8%A7%D8%B2-%D8%A8%DB%8C%D8%B1-%D9%85%D8%AF%D9%84-dsl-c02b1/
صبحانه ساز مدل KZC-9L,"۲,۵۶۰,۰۰۰",-,۳.۶,https://www.digikala.com/product/dkp-6085488/%D8%B5%D8%A8%D8%AD%D8%A7%D9%86%D9%87-%D8%B3%D8%A7%D8%B2-%D9%85%D8%AF%D9%84-kzc-9l/
میوه و سبزی خشک کن سایا مدل GP 103,"۱,۰۷۵,۰۰۰",۱٪,۴.۱,https://www.digikala.com/product/dkp-592815/%D9%85%DB%8C%D9%88%D9%87-%D9%88-%D8%B3%D8%A8%D8%B2%DB%8C-%D8%AE%D8%B4%DA%A9-%DA%A9%D9%86-%D8%B3%D8%A7%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-gp-103/
اسپند دود کن برقی بازرگانی میلادی کد DEK_106,"۹۰,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-4847670/%D8%A7%D8%B3%D9%BE%D9%86%D8%AF-%D8%AF%D9%88%D8%AF%DA%A9%D9%86-%D8%A8%D8%B1%D9%82%DB%8C-%D8%A8%D8%A7%D8%B2%D8%B1%DA%AF%D8%A7%D9%86%DB%8C-%D9%85%DB%8C%D9%84%D8%A7%D8%AF%DB%8C-%D8%B7%D8%B1%D8%AD-%D9%BE%D8%A7%DB%8C%D9%87-%D8%AF%D8%A7%D8%B1-dek-106/
